"17/01/2023","16/01/2024"
"Page","Total de seguidores","Novos seguidores","Total de engajamentos da publicação","Total de reações à publicação","Total de comentários na publicação","Total de compartilhamentos","Total de publicações"
"SouJunior","65813","39640","11755","7976","3603","176","475"
"VagasUX","40758","9026","20905","19261","785","859","265"
"Le Wagon","73203","18372","15642","14853","340","449","127"
"Trampar na Gringa","88035","65185","25802","20814","4830","158","356"
"Tech Pro Bem","11098","5349","2069","1687","222","160","26"
