"Date","Industry","Total Followers"
"2024-01-16","Design gráfico","246"
"2024-01-16","Serviços de informação","239"
"2024-01-16","Fabricação de veículos automotores, reboques e carrocerias","382"
"2024-01-16","Atividades de serviços pessoais","410"
"2024-01-16","Atividades de contabilidade","427"
"2024-01-16","Serviços de alimentação e bebidas","458"
"2024-01-16","Tecnologia, Informação e Internet","4852"
"2024-01-16","Comércio varejista","1671"
"2024-01-16","Educação superior","1493"
"2024-01-16","Atividades de serviços financeiros","1297"
"2024-01-16","Intermediação não-monetária - outros instrumentos de captação","1040"
"2024-01-16","Telecomunicações","1019"
"2024-01-16","Publicidade e propaganda","980"
"2024-01-16","Administração pública, defesa e seguridade social","931"
"2024-01-16","Atividades de consultoria em gestão empresarial","905"
"2024-01-16","Serviços de gestão estratégica","852"
"2024-01-16","Serviços combinados para apoio a edifícios","785"
"2024-01-16","Desenvolvimento e licenciamento de software customizáveis","700"
"2024-01-16","Serviços de design","689"
"2024-01-16","Hospitais e atividades de atenção à saúde humana","659"
"2024-01-16","Transporte, armazenagem e correio","648"
"2024-01-16","Publicação na Internet","607"
"2024-01-16","Segurança de redes e computadores","588"
"2024-01-16","Bancos","577"
"2024-01-16","Atividades de apoio à educação","570"
"2024-01-16","Ensino eletrônico","560"
"2024-01-16","Atividades de bem-estar e condicionamento físico","510"
"2024-01-16","Atividades imobiliárias","237"
"2024-01-16","Planejamento, assessoramento e organização de viagens","235"
"2024-01-16","Comércio por atacado","233"
"2024-01-16","Artes, cultura, esporte e recreação","123"
"2024-01-16","Serviços de arquitetura e planejamento","105"
"2024-01-16","Treinamento e suporte em tecnologia da informação","105"
"2024-01-16","Serviços administrativos e complementares","103"
"2024-01-16","Hospitais","103"
"2024-01-16","Operações e manutenção de sistemas de TI","102"
"2024-01-16","Comércio atacadista de materiais de construção em geral","98"
"2024-01-16","Hotelaria","96"
"2024-01-16","Fabricação de móveis e artigos de decoração","96"
"2024-01-16","Fabricação de produtos de material plástico","96"
"2024-01-16","Atividades de rádio e de televisão","95"
"2024-01-16","Defesa nacional","90"
"2024-01-16","Serviços de engenharia","87"
"2024-01-16","Fabricação de celulose, papel e produtos de papel","87"
"2024-01-16","Serviços de assistência social sem alojamento","86"
"2024-01-16","Transporte aéreo","85"
"2024-01-16","Fabricação de equipamentos de energia renovável","83"
"2024-01-16","Extração de minerais metálicos","83"
"2024-01-16","Atividades esportivas para audiências","77"
"2024-01-16","Gestão de investimentos em aplicações financeiras","77"
"2024-01-16","Publicação de livros e periódicos","76"
"2024-01-16","Comércio atacadista de importação e exportação de bens e commodities","75"
"2024-01-16","Teste e avaliação de tecnologia da informação","121"
"2024-01-16","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios","125"
"2024-01-16","Educação","226"
"2024-01-16","Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos","127"
"2024-01-16","Fabricação de produtos alimentícios e bebidas","224"
"2024-01-16","Extração de petróleo e gás natural","223"
"2024-01-16","Pesquisa e desenvolvimento cientifico","216"
"2024-01-16","Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal","197"
"2024-01-16","Indústrias de transformação","196"
"2024-01-16","Fabricação de produtos farmoquímicos e farmacêuticos","193"
"2024-01-16","Justiça","184"
"2024-01-16","Restaurantes e outros serviços de alimentação e bebidas","176"
"2024-01-16","Serviços de escritório e apoio administrativo","166"
"2024-01-16","Atividades de vigilância, segurança e investigação","155"
"2024-01-16","Atividades jurídicas","151"
"2024-01-16","Fabricação de máquinas de automação","150"
"2024-01-16","Serviços ambientais","148"
"2024-01-16","Fabricação de máquinas, aparelhos e materiais elétricos","146"
"2024-01-16","Fabricação de produtos têxteis","145"
"2024-01-16","Fabricação de máquinas e equipamentos","144"
"2024-01-16","Serviços de dados de tecnologia da informação","143"
"2024-01-16","Fabricação de produtos químicos","142"
"2024-01-16","Mineração","137"
"2024-01-16","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","130"
"2024-01-16","Consultórios médicos","127"
"2024-01-16","Atividades dos serviços de tecnologia da informação","13027"
