"Date","Location","Total Followers"
"2024-01-16","Taubaté, Brasil","160"
"2024-01-16","Pelotas, Brasil","144"
"2024-01-16","Piracicaba, Brasil","142"
"2024-01-16","Marília, Brasil","138"
"2024-01-16","Presidente Prudente, Brasil","126"
"2024-01-16","São José, Brasil","123"
"2024-01-16","Aracaju, Brasil","335"
"2024-01-16","Blumenau, Brasil","340"
"2024-01-16","Lisboa e Região, Portugal","348"
"2024-01-16","São Luís e Região, Brasil","367"
"2024-01-16","Recife e Região, Brasil","2316"
"2024-01-16","Belo Horizonte e Região, Brasil","2263"
"2024-01-16","Porto Alegre e Região, Brasil","1947"
"2024-01-16","Campinas e Região, Brasil","1930"
"2024-01-16","Fortaleza e Região, Brasil","1911"
"2024-01-16","Brasília e Região, Brasil","1897"
"2024-01-16","Curitiba e Região, Brasil","1629"
"2024-01-16","Salvador e Região, Brasil","1554"
"2024-01-16","Florianópolis e Região, Brasil","924"
"2024-01-16","Goiânia e Região, Brasil","733"
"2024-01-16","Manaus e Região, Brasil","676"
"2024-01-16","Uberlândia, Brasil","604"
"2024-01-16","João Pessoa e Região, Brasil","600"
"2024-01-16","Vitória e Região, Brasil","564"
"2024-01-16","Ribeirão Preto e Região, Brasil","538"
"2024-01-16","São José dos Campos, Brasil","531"
"2024-01-16","Sorocaba, Brasil","459"
"2024-01-16","Belém e Região, Brasil","437"
"2024-01-16","Natal e Região, Brasil","418"
"2024-01-16","Santo André, Brasil","404"
"2024-01-16","Joinville, Brasil","382"
"2024-01-16","Limeira, Brasil","112"
"2024-01-16","São Caetano do Sul, Brasil","111"
"2024-01-16","Caruaru, Brasil","109"
"2024-01-16","Ourinhos, Brasil","75"
"2024-01-16","Jaraguá do Sul, Brasil","72"
"2024-01-16","Nova Friburgo, Brasil","70"
"2024-01-16","Imperatriz, Brasil","67"
"2024-01-16","Toledo, Brasil","65"
"2024-01-16","Mossoró, Brasil","64"
"2024-01-16","Divinópolis, Brasil","63"
"2024-01-16","Bragança Paulista, Brasil","62"
"2024-01-16","Luanda, Angola","61"
"2024-01-16","Araçatuba, Brasil","61"
"2024-01-16","Ipatinga, Brasil","61"
"2024-01-16","Sobral, Brasil","61"
"2024-01-16","Rio das Ostras, Brasil","60"
"2024-01-16","Lavras, Brasil","60"
"2024-01-16","Rio Claro, Brasil","58"
"2024-01-16","Balneário Camboriú, Brasil","58"
"2024-01-16","Poços de Caldas, Brasil","58"
"2024-01-16","Passo Fundo, Brasil","58"
"2024-01-16","Governador Valadares, Brasil","55"
"2024-01-16","Braga e Região, Portugal","55"
"2024-01-16","Boa Vista, Brasil","55"
"2024-01-16","Itajubá, Brasil","53"
"2024-01-16","Macaé, Brasil","73"
"2024-01-16","Foz do Iguaçu, Brasil","76"
"2024-01-16","Caxias do Sul, Brasil","108"
"2024-01-16","Juazeiro do Norte, Brasil","76"
"2024-01-16","Volta Redonda, Brasil","107"
"2024-01-16","Jacareí, Brasil","101"
"2024-01-16","Ponta Grossa, Brasil","100"
"2024-01-16","Anápolis, Brasil","99"
"2024-01-16","Uberaba, Brasil","98"
"2024-01-16","Montes Claros, Brasil","95"
"2024-01-16","Taguatinga, Brasil","91"
"2024-01-16","Cascavel, Brasil","90"
"2024-01-16","Vitória da Conquista, Brasil","90"
"2024-01-16","Teresópolis, Brasil","88"
"2024-01-16","Campos dos Goytacazes, Brasil","88"
"2024-01-16","Embu das Artes, Brasil","88"
"2024-01-16","Itajaí, Brasil","86"
"2024-01-16","Petrolina, Brasil","86"
"2024-01-16","Petrópolis, Brasil","85"
"2024-01-16","Chapecó, Brasil","84"
"2024-01-16","Santana de Parnaíba, Brasil","80"
"2024-01-16","Palmas, Brasil","79"
"2024-01-16","Porto Velho, Brasil","78"
"2024-01-16","Criciúma, Brasil","77"
"2024-01-16","Santa Maria, Brasil","77"
"2024-01-16","São Paulo e Região, Brasil","13358"
