Data,Setor,Total de visualizações
03/24/2024,Fabricação de móveis e artigos de decoração,168
01/16/2024,"Serviços de organização, produção e promoção de eventos",166
03/24/2024,"Atividades de vigilância, segurança e investigação",166
01/16/2024,Construção e montagem de aeronaves para fins militares,165
03/24/2024,Mineração,164
01/16/2024,Serviços de escritório e apoio administrativo,160
03/24/2024,Fabricação de semicondutores de energia renovável,158
01/16/2024,Comércio atacadista de importação e exportação de bens e commodities,157
01/16/2024,Gestão de investimentos em aplicações financeiras,157
01/16/2024,Fabricação de produtos de material plástico,156
03/24/2024,Comércio por atacado,152
03/24/2024,Atividades imobiliárias,150
01/16/2024,Produtos de computação em rede,149
01/16/2024,Publicação de livros e periódicos,148
03/24/2024,Serviços de arquitetura e planejamento,147
01/16/2024,Fabricação de embalagens de material plástico,147
01/16/2024,Atividades de impressão,146
03/24/2024,Fabricação de produtos têxteis,145
01/16/2024,Sociedades de fomento mercantil - factoring,144
03/24/2024,Agricultura,143
01/16/2024,Segurança e ordem pública,140
03/24/2024,Defesa nacional,139
03/24/2024,Jogos para computador,138
01/16/2024,"Comércio atacadista de computadores, periféricos e suprimentos de informática",136
01/16/2024,Extração de minerais metálicos,135
01/16/2024,"Fabricação de celulose, papel e produtos de papel",135
01/16/2024,Serviços de dados de tecnologia da informação,135
03/24/2024,"Fabricação de máquinas, aparelhos e materiais elétricos",134
01/16/2024,Comércio varejista de combustíveis para veículos automotores,131
03/24/2024,Hotelaria,130
03/24/2024,Treinamento em desenvolvimento profissional,129
03/24/2024,Extração de petróleo e gás natural,125
01/16/2024,Pesquisa biotecnológica,123
01/16/2024,Armazenamento e atividades auxiliares dos transportes,118
01/16/2024,Hotelaria,118
01/16/2024,Think tanks,117
03/24/2024,Comércio atacadista de materiais de construção em geral,115
03/24/2024,Sociedades de fomento mercantil - factoring,114
01/16/2024,Comércio varejista de artigos de artesanatos,113
01/16/2024,Produtos de software integrado,111
01/16/2024,Fabricação de bebidas,110
01/16/2024,Produção de mídia,108
03/24/2024,Justiça,106
01/16/2024,Jogos para computador,105
03/24/2024,Segurança e ordem pública,103
03/24/2024,Fabricação de produtos químicos,102
01/16/2024,"Atividades cinematográficas, produção de vídeos, gravação de som e edição de música",102
01/16/2024,Serviços de táxi e limusine,100
01/16/2024,Fretes e transporte de encomendas,100
03/24/2024,Assessoria em relações públicas e comunicação,97
01/16/2024,Pesquisas de mercado e de opinião pública,97
03/24/2024,Publicação de livros e periódicos,97
01/16/2024,Serviços de arrecadação de fundos filantrópicos,96
01/16/2024,Transporte aéreo,95
01/16/2024,Produtos de software de segurança de dados,94
03/24/2024,Mídia de áudio e vídeo on-line,92
01/16/2024,Fabricação de aeronaves,91
01/16/2024,Ensino de idiomas,89
01/16/2024,Fabricação de peças e acessórios para veículos automotores,88
01/16/2024,"Fabricação de açúcar, chocolate e produtos derivados",88
03/24/2024,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",88
01/16/2024,Fabricação de equipamentos de informática e periféricos,87
01/16/2024,Comércio varejista de material de construção e equipamento de jardinagem,85
03/24/2024,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios",85
01/16/2024,Aplicativos de jogos para celular,85
03/24/2024,"Preparação, redação e revisão de documentos",85
03/24/2024,Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos,84
03/24/2024,"Planejamento, assessoramento e organização de viagens",84
01/16/2024,Assessoria em relações públicas e comunicação,83
03/24/2024,Atividades jurídicas,83
03/24/2024,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",83
01/16/2024,Fabricação de semicondutores de energia renovável,82
01/16/2024,Mídia de áudio e vídeo on-line,80
01/16/2024,Teste e avaliação de tecnologia da informação,80
03/24/2024,Atividades esportivas para audiências,80
01/16/2024,Fabricação de equipamentos de energia renovável,77
03/24/2024,Serviços de projeto em tecnologia da informação,77
03/24/2024,Atividades de associações de defesa de direitos sociais,73
03/24/2024,Bancos de investimento,72
03/24/2024,Serviços de relações com o governo,71
03/24/2024,Produção de mídia,71
03/24/2024,"Fabricação de celulose, papel e produtos de papel",71
01/16/2024,Plataformas de comercialização na Internet,71
01/16/2024,"Fabricação de geradores, transformadores e motores elétricos",71
01/16/2024,Comércio varejista especializado de equipamentos e suprimentos de informática,70
03/24/2024,Serviços ambientais,69
03/24/2024,Comércio varejista especializado de equipamentos e suprimentos de informática,69
01/16/2024,Transporte aquaviário,69
01/16/2024,Atividades de organizações religiosas,67
03/24/2024,Fabricação de embalagens de material plástico,65
01/16/2024,Fabricação de produtos do fumo,64
03/24/2024,"Serviços de organização, produção e promoção de eventos",63
01/16/2024,Serviços de engenharia,63
