Data,Impressões (orgânicas),Impressões (patrocinadas),Impressões (total),Impressões únicas (orgânicas),Cliques (orgânicos),Cliques (patrocinados),Cliques (total),Reações (orgânicas),Reações (patrocinadas),Reações (total),Comentários (orgânicos),Comentários (patrocinados),Comentários (total),Compartilhamentos (orgânicos),Compartilhamentos (patrocinados),Compartilhamentos (total),Taxa de engajamento (orgânico),Taxa de engajamento (patrocinado),Taxa de engajamento (total)
02/23/2023,2358,0,2358,1191,62,0,62,6,0,6,0,0,0,0,0,0,0.02883799830364716,0.0,0.02883799830364716
02/24/2023,1349,0,1349,753,38,0,38,3,0,3,-1,0,-1,0,0,0,0.029651593773165306,0.0,0.029651593773165306
02/25/2023,1367,0,1367,590,42,0,42,3,0,3,0,0,0,0,0,0,0.03291880029261156,0.0,0.03291880029261156
02/26/2023,915,0,915,505,36,0,36,2,0,2,1,0,1,0,0,0,0.04262295081967213,0.0,0.04262295081967213
02/27/2023,960,0,960,416,21,0,21,2,0,2,0,0,0,0,0,0,0.023958333333333335,0.0,0.023958333333333335
02/28/2023,2256,0,2256,1211,53,0,53,27,0,27,25,0,25,1,0,1,0.04698581560283688,0.0,0.04698581560283688
03/01/2023,1265,0,1265,503,28,0,28,9,0,9,0,0,0,0,0,0,0.02924901185770751,0.0,0.02924901185770751
03/02/2023,1635,0,1635,1155,53,0,53,24,0,24,0,0,0,0,0,0,0.04709480122324159,0.0,0.04709480122324159
03/03/2023,2014,0,2014,1037,92,0,92,21,0,21,1,0,1,0,0,0,0.05660377358490566,0.0,0.05660377358490566
03/04/2023,1273,0,1273,676,30,0,30,4,0,4,0,0,0,0,0,0,0.02670856245090338,0.0,0.02670856245090338
03/05/2023,1263,0,1263,568,46,0,46,4,0,4,0,0,0,0,0,0,0.0395882818685669,0.0,0.0395882818685669
03/06/2023,1577,0,1577,658,43,0,43,2,0,2,0,0,0,0,0,0,0.028535193405199746,0.0,0.028535193405199746
03/07/2023,1354,0,1354,723,64,0,64,8,0,8,0,0,0,0,0,0,0.053175775480059084,0.0,0.053175775480059084
03/08/2023,3071,0,3071,1753,62,0,62,33,0,33,1,0,1,3,0,3,0.03223705633344188,0.0,0.03223705633344188
03/09/2023,2771,0,2771,1247,55,0,55,29,0,29,57,0,57,0,0,0,0.05088415734391916,0.0,0.05088415734391916
03/10/2023,2589,0,2589,1155,43,0,43,35,0,35,81,0,81,0,0,0,0.06141367323290846,0.0,0.06141367323290846
03/11/2023,1421,0,1421,734,31,0,31,6,0,6,0,0,0,0,0,0,0.026038001407459536,0.0,0.026038001407459536
03/12/2023,1212,0,1212,568,34,0,34,4,0,4,2,0,2,0,0,0,0.033003300330033,0.0,0.033003300330033
03/13/2023,1267,0,1267,584,26,0,26,2,0,2,0,0,0,0,0,0,0.022099447513812154,0.0,0.022099447513812154
03/14/2023,2491,0,2491,1217,29,0,29,61,0,61,67,0,67,2,0,2,0.06382978723404255,0.0,0.06382978723404255
