Data,Visualizações da página Visão geral (computadores),Visualizações da página Visão geral (dispositivos móveis),Visualizações da página Visão geral (total),Visitantes únicos da página Visão geral (computadores),Visitantes únicos da página Visão geral (dispositivos móveis),Visitantes únicos da página Visão geral (total),Visualizações da página Dia a dia (computadores),Visualizações da página Dia a dia (dispositivos móveis),Visualizações da página Dia a dia (total),Visitantes únicos da página Dia a dia (computadores),Visitantes únicos da página Dia a dia (dispositivos móveis),Visitantes únicos da página Dia a dia (total),Visualizações da página Vagas (computadores),Visualizações da página Vagas (dispositivos móveis),Visualizações da página Vagas (total),Visitantes únicos da página Vagas (computadores),Visitantes únicos da página Vagas (dispositivos móveis),Visitantes únicos da página Vagas (total),Total de visualizações da página (computadores),Total de visualizações da página (dispositivos móveis),Total de visualizações da página (total),Total de visitantes únicos (computadores),Total de visitantes únicos (dispositivos móveis),Total de visitantes únicos (total)
03/08/2023,175,571,746,107,177,282,0,0,0,0,0,0,40,42,82,39,34,73,255,674,929,107,178,283
03/09/2023,252,0,252,144,0,144,0,0,0,0,0,0,61,23,84,57,20,77,372,23,395,145,20,164
03/10/2023,200,0,200,114,0,114,0,0,0,0,0,0,45,29,74,40,24,64,292,29,321,115,24,139
03/11/2023,36,224,260,27,80,107,0,0,0,0,0,0,10,17,27,9,16,25,49,274,323,27,80,107
03/12/2023,36,0,36,25,0,25,0,0,0,0,0,0,9,12,21,8,10,18,53,12,65,25,10,35
03/13/2023,106,253,359,66,77,142,0,0,0,0,0,0,26,8,34,23,8,31,156,306,462,66,77,142
03/14/2023,314,764,1078,190,265,451,0,0,0,0,0,0,58,52,110,50,39,89,424,961,1385,190,266,452
03/15/2023,449,1340,1789,259,405,657,0,0,0,0,0,0,88,45,133,79,41,120,627,1567,2194,260,406,659
03/16/2023,201,523,724,117,152,266,0,0,0,0,0,0,43,25,68,39,23,62,289,618,907,118,152,267
03/17/2023,180,454,634,103,146,246,0,0,0,0,0,0,27,22,49,26,19,45,243,532,775,103,147,247
03/18/2023,67,0,67,37,0,37,0,0,0,0,0,0,14,16,30,12,14,26,94,16,110,37,14,51
03/19/2023,30,0,30,17,0,17,0,0,0,0,0,0,6,7,13,5,6,11,44,7,51,17,6,22
03/20/2023,134,0,134,89,0,89,0,0,0,0,0,0,37,11,48,34,11,45,207,11,218,89,11,100
03/21/2023,139,0,139,71,0,71,0,0,0,0,0,0,26,13,39,25,13,38,185,13,198,73,13,86
03/22/2023,132,316,448,62,92,153,0,0,0,0,0,0,26,11,37,24,8,32,174,388,562,63,92,154
03/23/2023,220,395,615,130,137,265,0,0,0,0,0,0,36,17,53,34,15,49,300,458,758,130,137,265
03/24/2023,148,362,510,86,121,206,0,0,0,0,0,0,35,18,53,30,16,46,216,427,643,86,121,206
03/25/2023,94,2,96,56,1,57,0,0,0,0,0,0,24,8,32,23,7,30,137,11,148,56,8,64
03/26/2023,54,0,54,36,0,36,0,0,0,0,0,0,9,5,14,9,5,14,74,5,79,36,5,41
03/27/2023,208,0,208,117,0,117,0,0,0,0,0,0,44,10,54,40,10,50,293,10,303,118,10,128
03/28/2023,162,414,576,88,125,212,0,0,0,0,0,0,27,19,46,26,14,40,218,502,720,88,125,212
03/29/2023,209,430,639,113,121,231,0,0,0,0,0,0,33,13,46,28,9,37,289,505,794,113,121,231
03/30/2023,218,345,563,104,112,207,0,0,0,0,0,0,32,8,40,27,8,35,294,394,688,105,112,208
03/31/2023,314,1138,1452,190,310,494,0,0,0,0,0,0,91,56,147,81,44,125,450,1314,1764,190,310,494
04/01/2023,81,299,380,50,91,138,0,0,0,0,0,0,12,10,22,11,8,19,108,344,452,50,91,138
04/02/2023,38,0,38,26,0,26,0,0,0,0,0,0,10,13,23,9,11,20,54,13,67,26,11,37
04/03/2023,278,0,278,145,0,145,0,0,0,0,0,0,50,16,66,40,15,55,370,16,386,145,15,160
04/04/2023,138,336,474,81,110,190,0,0,0,0,0,0,30,16,46,26,15,41,192,401,593,81,110,190
04/05/2023,123,275,398,69,94,161,0,0,0,0,0,0,21,9,30,19,6,25,168,318,486,69,94,161
04/06/2023,116,0,116,75,0,75,0,0,0,0,0,0,25,12,37,24,12,36,163,12,175,76,12,87
04/07/2023,78,0,78,51,0,51,0,0,0,0,0,0,28,25,53,25,23,47,116,25,141,52,23,74
04/08/2023,38,0,38,27,0,27,0,0,0,0,0,0,8,5,13,8,4,12,53,5,58,27,4,31
04/09/2023,29,0,29,17,0,17,0,0,0,0,0,0,8,7,15,8,5,13,40,7,47,17,5,22
04/10/2023,117,0,117,78,0,78,0,0,0,0,0,0,34,17,51,31,16,47,170,17,187,78,16,94
04/11/2023,162,0,162,95,0,95,0,0,0,0,0,0,38,22,60,33,17,50,236,22,258,97,17,114
04/12/2023,186,0,186,115,0,115,0,0,0,0,0,0,48,19,67,42,18,60,269,19,288,116,18,134
04/13/2023,162,0,162,104,0,104,0,0,0,0,0,0,35,18,53,30,15,45,237,18,255,105,15,120
04/14/2023,106,353,459,68,122,187,0,0,0,0,0,0,20,16,36,19,11,30,141,441,582,69,122,188
04/15/2023,37,239,276,30,85,114,0,0,0,0,0,0,12,16,28,10,9,19,57,307,364,31,86,116
04/16/2023,35,0,35,22,0,22,0,0,0,0,0,0,9,0,9,9,0,9,49,0,49,22,0,22
04/17/2023,467,3,470,301,1,302,0,0,0,0,0,0,74,28,102,70,22,92,630,32,662,302,23,325
04/18/2023,264,648,912,155,227,379,0,0,0,0,0,0,48,32,80,46,22,68,369,791,1160,155,227,379
04/19/2023,190,0,190,114,0,114,0,0,0,0,0,0,38,19,57,35,14,49,266,19,285,116,14,130
04/20/2023,155,0,155,90,0,90,0,0,0,0,0,0,21,19,40,21,17,38,203,19,222,91,17,107
04/21/2023,95,214,309,54,64,118,0,0,0,0,0,0,11,10,21,10,9,19,128,256,384,54,64,118
04/22/2023,41,0,41,23,0,23,0,0,0,0,0,0,7,4,11,7,3,10,57,4,61,23,3,26
04/23/2023,56,0,56,32,0,32,0,0,0,0,0,0,9,9,18,8,7,15,86,9,95,32,7,39
04/24/2023,121,0,121,72,0,72,0,0,0,0,0,0,18,18,36,17,14,31,176,18,194,72,14,86
04/25/2023,252,0,252,159,0,159,0,0,0,0,0,0,62,28,90,59,24,83,363,28,391,159,24,183
04/26/2023,262,2,264,144,1,145,0,0,0,0,0,0,47,26,73,44,24,68,362,29,391,144,25,169
04/27/2023,170,0,170,87,0,87,0,0,0,0,0,0,38,26,64,30,22,52,240,26,266,87,22,109
04/28/2023,113,0,113,70,0,70,0,0,0,0,0,0,20,17,37,19,12,31,146,17,163,71,12,83
04/29/2023,42,0,42,32,0,32,0,0,0,0,0,0,6,4,10,6,4,10,56,4,60,32,4,36
04/30/2023,44,134,178,23,43,65,0,0,0,0,0,0,6,8,14,4,7,11,61,157,218,23,43,65
05/01/2023,52,0,52,34,0,34,0,0,0,0,0,0,13,5,18,12,4,16,76,5,81,34,4,38
05/02/2023,89,254,343,58,81,139,0,0,0,0,0,0,22,15,37,19,12,31,133,302,435,60,81,141
05/03/2023,157,445,602,99,141,239,0,0,0,0,0,0,43,23,66,40,21,60,219,528,747,99,141,239
05/04/2023,165,371,536,108,143,251,0,0,0,0,0,0,26,22,48,25,18,43,212,453,665,108,143,251
05/05/2023,205,330,535,128,111,239,0,0,0,0,0,0,31,13,44,27,13,40,270,379,649,128,111,239
